AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023
5,4,3,8,15,8,15,15,10,21,17,19,27,34,30,42,94,34,18,37
4,1,2,2,4,4,11,14,10,18,5,13,9,13,17,22,50,22,10,22
8,10,18,11,11,12,18,8,25,28,26,34,52,45,30,26,28,26,20,38
19,17,12,17,29,23,44,35,47,34,40,41,50,62,65,70,54,36,36,55
12,20,20,14,27,38,14,17,29,46,223,156,202,215,267,219,173,169,230,228
6,4,6,7,15,13,9,22,14,17,78,87,99,99,96,70,59,58,68,56
35,37,42,25,39,35,46,76,83,144,10,7,4,23,2,3,1,4,6,10
37,32,38,31,31,69,52,61,127,95,7,4,9,4,10,8,5,6,6,8
66,70,51,53,77,93,103,115,107,161,5,8,7,1,7,8,11,9,14,12
9,4,6,1,8,15,33,34,19,25,3,8,17,22,6,13,37,20,29,9
17,19,32,14,14,30,23,45,44,86,7,9,15,6,1,4,16,12,8,10
7,5,4,10,19,29,22,39,44,47,12,15,18,9,13,12,26,14,28,17
19,16,17,29,10,21,21,33,37,40,1,4,8,8,2,4,2,5,3,7
16,18,10,17,9,8,23,20,37,55,1,1,1,9,4,2,2,3,0,2
7,8,13,11,13,13,14,19,45,53,0,2,2,2,4,2,1,2,3,7
11,12,15,14,19,26,20,18,29,63,2,1,5,7,7,6,5,7,3,8
18,13,18,27,35,40,42,43,45,64,5,4,5,3,2,2,3,7,1,6
7,18,18,30,27,38,24,22,55,55,2,3,3,4,2,5,4,1,3,2
31,24,16,25,47,57,43,76,128,153,3,3,1,1,2,1,0,4,2,1
